LocationName,Year,Month,Day,Item
Balehonnur,1995,11,25,26.58
Balehonnur,1995,11,26,25.2
Balehonnur,1995,11,27,23.15
Balehonnur,1995,11,28,21.63
Balehonnur,1995,11,29,19.93
Balehonnur,1995,11,30,19.28
Balehonnur,1995,12,1,18.79
Balehonnur,1995,12,2,17.91
Balehonnur,1995,12,3,17.36
Balehonnur,1995,12,4,16.75
Balehonnur,1995,12,5,16.24
Balehonnur,1995,12,6,15.96
Balehonnur,1995,12,7,15.45
Balehonnur,1995,12,8,14.96
Balehonnur,1995,12,9,14.69
Balehonnur,1995,12,10,14.47
Balehonnur,1995,12,11,14.21
Balehonnur,1995,12,12,13.97
Balehonnur,1995,12,13,13.58
Balehonnur,1995,12,14,13.14
Balehonnur,1995,12,15,13.41
Balehonnur,1995,12,16,14.32
Balehonnur,1995,12,17,14.11
Balehonnur,1995,12,18,13.93
Balehonnur,1995,12,19,13.45
Balehonnur,1995,12,20,12.84
Balehonnur,1995,12,21,12.66
Balehonnur,1995,12,22,12.48
Balehonnur,1995,12,23,12.28
Balehonnur,1995,12,24,12.01
Balehonnur,1995,12,25,11.84
Balehonnur,1995,12,26,11.75
Balehonnur,1995,12,27,11.63
Balehonnur,1995,12,28,11.56
Balehonnur,1995,12,29,11.35
Balehonnur,1995,12,30,11.05
Balehonnur,1995,12,31,11.09
Balehonnur,1996,1,1,11
Balehonnur,1996,1,2,10.61
Balehonnur,1996,1,3,10.5
Balehonnur,1996,1,4,10.28
Balehonnur,1996,1,5,10.03
Balehonnur,1996,1,6,9.88
Balehonnur,1996,1,7,9.7
Balehonnur,1996,1,8,9.55
Balehonnur,1996,1,9,9.36
Balehonnur,1996,1,10,9.17
Balehonnur,1996,1,11,9.02
Balehonnur,1996,1,12,8.92
Balehonnur,1996,1,13,8.78
Balehonnur,1996,1,14,8.63
Balehonnur,1996,1,15,8.44
Balehonnur,1996,1,16,8.38
Balehonnur,1996,1,17,8.34
Balehonnur,1996,1,18,8.21
Balehonnur,1996,1,19,8.05
Balehonnur,1996,1,20,7.94
Balehonnur,1996,1,21,7.84
Balehonnur,1996,1,22,7.56
Balehonnur,1996,1,23,7.34
Balehonnur,1996,1,24,7.26
Balehonnur,1996,1,25,7.16
Balehonnur,1996,1,26,7.21
Balehonnur,1996,1,27,7.12
Balehonnur,1996,1,28,7
Balehonnur,1996,1,29,6.89
Balehonnur,1996,1,30,6.81
Balehonnur,1996,1,31,6.7
Balehonnur,1996,2,1,6.62
Balehonnur,1996,2,2,6.6
Balehonnur,1996,2,3,6.6
Balehonnur,1996,2,4,6.56
